time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1671352870.96047163,0.00457683,0.00012161,0.00000291,12919.00000000,0.00185849,0.000000,0.000000
1671352871.06129956,0.00457157,0.00023473,0.00000334,12931.00000000,0.00241139,0.000000,0.000000
1671352871.16218734,0.00456538,0.00015704,0.00000296,12951.00000000,0.00201441,0.000000,0.000000
1671352871.26303530,0.00455984,0.00024570,0.00000290,12967.00000000,0.00227364,0.000000,0.000000
1671352871.36391568,0.00455530,0.00050574,0.00000322,12963.00000000,0.00267406,0.000000,0.000000
1671352871.46476436,0.00455091,0.00017978,0.00000338,12914.00000000,0.00272998,0.000000,0.000000
1671352871.56558800,0.00454914,0.00033763,0.00000406,12940.00000000,0.00381120,0.000000,0.000000
1671352871.66645336,0.00454601,0.00036709,0.00000329,12984.00000000,0.00324198,0.000000,0.000000
1671352871.76734209,0.00454262,0.00030755,0.00000335,13020.00000000,0.00312589,0.000000,0.000000
1671352871.86818075,0.00454016,0.00035133,0.00000327,13035.00000000,0.00351089,0.000000,0.000000
1671352871.96901989,0.00453636,0.00024862,0.00000283,12998.00000000,0.00293819,0.000000,0.000000
1671352872.06987715,0.00453508,0.00029649,0.00000369,13046.00000000,0.00399732,0.000000,0.000000
1671352872.17073965,0.00453116,0.00024286,0.00000308,13072.00000000,0.00287587,0.000000,0.000000
1671352872.27164555,0.00452665,0.00023739,0.00000261,13093.00000000,0.00261765,0.000000,0.000000
1671352872.37245488,0.00452245,0.00028964,0.00000315,13108.00000000,0.00274233,0.000000,0.000000
1671352872.47331715,0.00451842,0.00033544,0.00000260,13131.00000000,0.00280672,0.000000,0.000000
1671352872.57419395,0.00451645,0.00052201,0.00000276,13175.00000000,0.00367626,0.000000,0.000000
1671352872.67506027,0.00451517,0.00060656,0.00000282,13220.00000000,0.00397003,0.000000,0.000000
1671352872.77597475,0.00451547,0.00060543,0.00000319,13291.00000000,0.00464518,0.000000,0.000000
1671352872.87678289,0.00451484,0.00047831,0.00000280,13374.00000000,0.00424345,0.000000,0.000000
1671352872.97763014,0.00451646,0.00100151,0.00000280,13432.00000000,0.00521247,0.000000,0.000000
1671352873.07848668,0.00452025,0.00064933,0.00000319,13480.00000000,0.00615470,0.000000,0.000000
1671352873.17936182,0.00452255,0.00075024,0.00000275,13578.00000000,0.00551691,0.000000,0.000000
1671352873.28045416,0.00452756,0.00073910,0.00000312,13663.00000000,0.00669557,0.000000,0.000000
1671352873.38109589,0.00453113,0.00098003,0.00000275,13782.00000000,0.00607972,0.000000,0.000000
1671352873.48194933,0.00453540,0.00082420,0.00000278,13802.00000000,0.00639358,0.000000,0.000000
